lng,lat,num,street,type,city,zip,address,APN,line_1,line_2,state,postal
-122.198977971088254,37.768872490714934,5606,SCOVILLE,ST,,94621,5606 SCOVILLE ST OAKLAND 94621,038 322802500,,,,
-122.19901832969903,37.768847340839031,5608,SCOVILLE,ST,,94621,5608 SCOVILLE ST OAKLAND 94621,038 322802500,,,,
-122.198871878256583,37.768777406570933,5614,SCOVILLE,ST,,94621,5614 SCOVILLE ST OAKLAND 94621,038 322802400,,,,
-122.198774387692055,37.768690035510055,5618,SCOVILLE,ST,,94621,5618 SCOVILLE ST OAKLAND 94621,038 322802300,,,,
-122.198794167696292,37.768539539096686,5626,SCOVILLE,ST,,94621,5626 SCOVILLE ST OAKLAND 94621,038 322802200,,,,
-122.198667993924744,37.768426458878032,1801,57TH,AV,,94621,1801 57TH AV OAKLAND 94621,038 322802100,,,,
-122.198613524577496,37.768537162356715,1807,57TH,AV,,94621,1807 57TH AV OAKLAND 94621,038 322802000,,,,
-122.198613524577496,37.768537162356715,1809,57TH,AV,,94621,1809 57TH AV OAKLAND 94621,038 322802000,,,,
-122.198508293230148,37.768611070626818,1815,57TH,AV,,94621,1815 57TH AV OAKLAND 94621,038 322801900,,,,
-122.198416020979138,37.76867588090419,1821,57TH,AV,,94621,1821 57TH AV OAKLAND 94621,038 322801801,,,,
-122.198318853808118,37.768744123789652,1825,57TH,AV,,94621,1825 57TH AV OAKLAND 94621,038 322801701,,,,
-122.198228168880178,37.768807848905453,1827,57TH,AV,,94621,1827 57TH AV OAKLAND 94621,038 322801600,,,,
-122.198488002084517,37.768885369220492,5619,EDGERLY,ST,,94621,5619 EDGERLY ST OAKLAND 94621,038 322801500,,,,
-122.198563905234479,37.768951489404131,5615,EDGERLY,ST,,94621,5615 EDGERLY ST OAKLAND 94621,038 322801400,,,,
-122.198641300486088,37.769024476962954,5611,EDGERLY,ST,,94621,5611 EDGERLY ST OAKLAND 94621,038 322801300,,,,
-122.198729770168512,37.76910200841256,5607,EDGERLY,ST,,94621,5607 EDGERLY ST OAKLAND 94621,038 322801200,,,,
-122.19882153756636,37.76918423783146,5601,EDGERLY,ST,,94621,5601 EDGERLY ST OAKLAND 94621,038 322801100,,,,
-122.198906659227745,37.769296873786921,5543,EDGERLY,ST,,94621,5543 EDGERLY ST OAKLAND 94621,038 322801001,,,,
-122.198999839675537,37.769380675866039,5537,EDGERLY,ST,,94621,5537 EDGERLY ST OAKLAND 94621,038 322800900,,,,
-122.199066363515598,37.769440295334363,5533,EDGERLY,ST,,94621,5533 EDGERLY ST OAKLAND 94621,038 322800800,,,,
-122.199131167081873,37.769498373124705,5529,EDGERLY,ST,,94621,5529 EDGERLY ST OAKLAND 94621,038 322800700,,,,
-122.19921374651102,37.76957238410882,5523,EDGERLY,ST,,94621,5523 EDGERLY ST OAKLAND 94621,038 322800600,,,,
-122.199075464347743,37.768959864400706,5600,SCOVILLE,ST,,94621,5600 SCOVILLE ST OAKLAND 94621,038 322802600,,,,
-122.19917008659155,37.769044670241101,5550,SCOVILLE,ST,,94621,5550 SCOVILLE ST OAKLAND 94621,038 322802700,,,,
-122.199258975787231,37.769124334114665,5544,SCOVILLE,ST,,94621,5544 SCOVILLE ST OAKLAND 94621,038 322802800,,,,
-122.199344996662205,37.769201430165765,5538,SCOVILLE,ST,,94621,5538 SCOVILLE ST OAKLAND 94621,038 322802900,,,,
-122.199445357344075,37.769291371906597,5532,SCOVILLE,ST,,94621,5532 SCOVILLE ST OAKLAND 94621,038 322803000,,,,
-122.199445357344075,37.769291371906597,5530,SCOVILLE,ST,,94621,5530 SCOVILLE ST OAKLAND 94621,038 322803000,,,,
-122.199588731158357,37.769419862859884,5520,SCOVILLE,ST,,94621,5520 SCOVILLE ST OAKLAND 94621,038 322803200,,,,
-122.19955917658551,37.769677712548464,1824,55TH,AV,,94621,1824 55TH AV OAKLAND 94621,038 322800501,,,,
-122.197290011516586,37.762694913095608,1351,64TH,AV,,94621,1351 64TH AV OAKLAND 94621,041 405000800,,,,
-122.220238701649777,37.790706887476496,2701,FRUITVALE,AV,,94601,2701 FRUITVALE AV OAKLAND 94601,026 082004302,,,,
-122.220218675507141,37.7908575964573,2707,FRUITVALE,AV,,94601,2707 FRUITVALE AV OAKLAND 94601,026 082004200,,,,
-122.170875933630967,37.745538621079191,9622,14TH,ST,,94603,9622 E 14TH ST OAKLAND 94603,046 542402300,,,,
-122.170875933630967,37.745538621079191,9622,INTERNATIONAL,BL,,94603,9622 INTERNATIONAL BL OAKLAND 94603,046 542402300,,,,
-122.170875933630967,37.745538621079191,9616,14TH,ST,,94603,9616 E 14TH ST OAKLAND 94603,046 542402300,,,,
-122.170875933630967,37.745538621079191,9616,INTERNATIONAL,BL,,94603,9616 INTERNATIONAL BL OAKLAND 94603,046 542402300,,,,
-122.170788404484611,37.745420189569423,9628,14TH,ST,,94603,9628 E 14TH ST OAKLAND 94603,046 542402200,,,,
-122.170788404484611,37.745420189569423,9628,INTERNATIONAL,BL,,94603,9628 INTERNATIONAL BL OAKLAND 94603,046 542402200,,,,
-122.170477785025682,37.74540604116558,9634,14TH,ST,,94603,9634 E 14TH ST OAKLAND 94603,046 542402101,,,,
-122.170477785025682,37.74540604116558,9634,INTERNATIONAL,BL,,94603,9634 INTERNATIONAL BL OAKLAND 94603,046 542402101,,,,
-122.224685428781498,37.770659804317461,703,37TH,AV,,94601,703 37TH AV OAKLAND 94601,033 218100800,,,,
-122.224527217493673,37.770868696220084,721,37TH,AV,,94601,721 37TH AV OAKLAND 94601,033 218100501,,,,
-122.224371237620986,37.771074647065738,729,37TH,AV,,94601,729 37TH AV OAKLAND 94601,033 218100400,,,,
-122.224282104083542,37.771192333107138,737,37TH,AV,,94601,737 37TH AV OAKLAND 94601,033 218100300,,,,
-122.224188514902309,37.771315904846723,745,37TH,AV,,94601,745 37TH AV OAKLAND 94601,033 218100200,,,,
-122.22459212975609,37.771519109980176,748,36TH,AV,,94601,748 36TH AV OAKLAND 94601,033 218100101,,,,
-122.224674554674976,37.771410237299122,740,36TH,AV,,94601,740 36TH AV OAKLAND 94601,033 218101601,,,,
